"study","source","scan_id","crosscut","manual_code","manual_rep","groove_left_manual","groove_right_manual"
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet C/LAPD - 102 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BC-L4",50,"HH",1,321.21,1932.690819
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet C/LAPD - 102 - Bullet C - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BC-L5",50,"HH",1,303.3153285,2080.798129
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet C/LAPD - 102 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BC-L6",50,"HH",1,294.765,2120.76
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet D/LAPD - 102 - Bullet D - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BD-L1",75,"HH",1,298.635,2071.241036
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet D/LAPD - 102 - Bullet D - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BD-L2",50,"HH",1,313.47,2116.057339
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet D/LAPD - 102 - Bullet D - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BD-L3",75,"HH",1,369.508701,2098.185
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet D/LAPD - 102 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BD-L4",50,"HH",1,312.18,2133.136938
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet D/LAPD - 102 - Bullet D - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BD-L5",150,"HH",1,296.7,2106.425601
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet D/LAPD - 102 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BD-L6",75,"HH",1,347.655,2085.285
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet A/LAPD - 103 - Bullet A - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BA-L1",150,"HH",1,254.9885338,2058.84
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet A/LAPD - 103 - Bullet A - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BA-L2",75,"HH",1,248.8675755,2111.73
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet A/LAPD - 103 - Bullet A - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BA-L3",450,"HH",1,245.2265568,2123.985
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet A/LAPD - 103 - Bullet A - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BA-L4",175,"HH",1,238.5582062,2109.182857
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet A/LAPD - 103 - Bullet A - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BA-L5",125,"HH",1,201.24,2045.94
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet A/LAPD - 103 - Bullet A - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BA-L6",425,"HH",1,281.9866165,2174.295
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet B/LAPD - 103 - Bullet B - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BB-L1",50,"HH",1,252.9826202,2145.27
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet B/LAPD - 103 - Bullet B - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BB-L2",50,"HH",1,229.62,2076.255
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet B/LAPD - 103 - Bullet B - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BB-L3",75,"HH",1,292.185,2116.89
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet B/LAPD - 103 - Bullet B - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BB-L4",50,"HH",1,212.7012677,1624.849584
